stop_id,shading,heat_vulnerability_index,heat_vulnerability_label,tree_canopy_pct,lst_median,shade_coverage,shade_sources
1242,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1244,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1245,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1246,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1248,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1249,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1251,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1254,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1257,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1259,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1261,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1269,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,None
1274,Unknown,6.982948,Moderate Vulnerability,0.170747,102.000000,Unknown,None
1277,Unknown,6.419145,Moderate Vulnerability,0.345393,101.000000,Unknown,None
1278,Unknown,6.419145,Moderate Vulnerability,0.345393,101.000000,Unknown,None
1280,Unknown,7.921735,Moderate Vulnerability,0.267157,103.000000,Unknown,None
1282,Unknown,7.921735,Moderate Vulnerability,0.267157,103.000000,Unknown,None
1283,Unknown,7.921735,Moderate Vulnerability,0.267157,103.000000,Unknown,None
1284,Unknown,6.462054,Moderate Vulnerability,0.277709,100.000000,Unknown,None
1285,Unknown,6.462054,Moderate Vulnerability,0.277709,100.000000,Unknown,None
1287,Unknown,6.462054,Moderate Vulnerability,0.277709,100.000000,Unknown,None
1289,Unknown,4.341857,Low Vulnerability,0.479730,97.000000,Unknown,None
1290,Unknown,6.097635,Low Vulnerability,0.344494,101.000000,Unknown,None
1291,Unknown,4.982756,Low Vulnerability,0.480291,99.000000,Unknown,None
1294,Unknown,4.982756,Low Vulnerability,0.480291,99.000000,Unknown,None
1295,Unknown,6.181950,Moderate Vulnerability,0.441089,99.000000,Unknown,None
1297,Unknown,6.181950,Moderate Vulnerability,0.441089,99.000000,Unknown,None
1298,Unknown,7.232134,Moderate Vulnerability,0.239469,101.000000,Unknown,None
1301,Unknown,7.232134,Moderate Vulnerability,0.239469,101.000000,Unknown,None
1302,Unknown,7.232134,Moderate Vulnerability,0.239469,101.000000,Unknown,None
1304,Unknown,5.956543,Low Vulnerability,0.306468,98.000000,Unknown,None
1305,Unknown,5.956543,Low Vulnerability,0.306468,98.000000,Unknown,None
